Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
1305382144503013,2013-10-09,1381318948,Charged,LT29i,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,251,TW
1374404126010110,2013-10-10,1381380422,Charged,m7,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,108,TW
1363897244576177,2013-10-10,1381433490,Charged,SO-03D,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,佐久市,長野県,3850062,JP
1392424884149673,2013-10-10,1381437875,Charged,msm7627a_fw8939,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,236,TW
1358312031951920,2013-10-10,1381439889,Charged,SBM206SH,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,039-1161,JP
1394981132185968,2013-10-11,1381519459,Charged,C6802,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,500,TW
1303299671636426,2013-10-11,1381527719,Charged,ha3g,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,404,TW
1301932061337918,2013-10-12,1381569850,Charged,dlxub1,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,515,TW
1338650561075461,2013-10-12,1381570343,Charged,LT25i,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,710,TW
1305505934866801,2013-10-12,1381591105,Charged,SO-04E,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,7690104,JP
1376669049767518,2013-10-12,1381591255,Charged,aries,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,北港鎮,雲林縣,651,TW
1362560817141638,2013-10-12,1381595611,Charged,GT-I9100,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,241,TW
1368705189072865,2013-10-12,1381601893,Charged,m0,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,300,TW
1383480486668350,2013-10-13,1381629951,Charged,hlte,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,EUR,0.81,0.00,0.81,,,60800,FR
1354843162534225,2013-10-13,1381676725,Charged,hwu9700L,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,5720084,JP
1361718669104251,2013-10-13,1381694652,Charged,grouper,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,町田市,東京都,1940013,JP
1391298563144630,2013-10-13,1381697918,Charged,ja3g,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,231,TW
1351876800922086,2013-10-13,1381700518,Charged,konawifi,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,22065,TW
