Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	USD	MY	USD	532110894	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	AUD	AU	AUD	503030130	0	 	 	 	 	Games
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	EUR	BE	EUR	532110894	0	 	 	 	 	Games
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	2	0	01/01/2013	12/31/2013	ILS	IL	ILS	532110894	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	MXN	MX	MXN	503030130	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	EUR	DE	EUR	503030130	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	722	0	01/01/2013	12/31/2013	USD	US	USD	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	2	0	01/01/2013	12/31/2013	USD	TH	USD	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	9	0	01/01/2013	12/31/2013	CNY	CN	CNY	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	7	0	01/01/2013	12/31/2013	EUR	NL	EUR	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	USD	MY	USD	503030130	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	4	0	01/01/2013	12/31/2013	EUR	FR	EUR	503030130	0	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	7	1	0	01/01/2013	12/31/2013	USD	US	USD	532110894	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	2	0	01/01/2013	12/31/2013	USD	BR	USD	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	2	0	01/01/2013	12/31/2013	USD	MN	USD	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	USD	PK	USD	503030130	0	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	AUD	AU	AUD	532110894	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	17	0	01/01/2013	12/31/2013	USD	PH	USD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	USD	TH	USD	512427818	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	EUR	RO	EUR	512427818	0	 	 	 	 	Games
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	2	0	01/01/2013	12/31/2013	USD	JO	USD	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	2	0	01/01/2013	12/31/2013	TRY	TR	TRY	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	USD	UA	USD	503030130	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	CAD	CA	CAD	503030130	0	 	 	 	 	Games
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	NOK	NO	NOK	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	6	0	01/01/2013	12/31/2013	USD	PK	USD	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	USD	AZ	USD	503030130	0	 	 	 	 	Games
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	166	0	01/01/2013	12/31/2013	EUR	FR	EUR	512427818	0	 	 	 	 	 
